group,satellite,label,delta_vx (m/d),delta_vy (m/d),KDE_vx (m/d),KDE_vy (m/d),Incorrect match (%)
1,L8,1_L820250711_20250727_L8,0.1185,0.1549,-0.0033,-0.0195,19.5777
1,L9,1_L820250711_20250727_L9,0.1117,0.1189,-0.0148,0.0075,16.1333
2,L8,2_L820250711_20250727_L8,0.1457,0.1366,0.0187,-0.1584,21.3609
2,L9,2_L820250711_20250727_L9,0.1474,0.1258,-0.0827,0.0222,18.0666
3,L8,3_L820250711_20250727_L8,0.1062,0.1062,0.0201,-0.1497,15.8986
3,L9,3_L820250711_20250727_L9,0.1051,0.0919,-0.0851,0.0249,14.9413
4,L8,4_L820250711_20250727_L8,0.0961,0.1345,-0.0026,-0.0058,27.5739
4,L9,4_L820250711_20250727_L9,0.0641,0.0755,-0.004,0.0017,36.4242
5,L8,5_L820250711_20250727_L8,0.1362,0.1317,0.0189,-0.1582,23.3693
5,L9,5_L820250711_20250727_L9,0.1263,0.0966,-0.0832,0.0231,25.068
6,L8,6_L820250711_20250727_L8,0.091,0.0941,0.0204,-0.1444,21.1075
6,L9,6_L820250711_20250727_L9,0.0804,0.0658,-0.0806,0.0212,23.5664
7,L8,7_L820250711_20250727_L8,0.0963,0.1348,-0.0026,-0.0057,27.4425
7,L9,7_L820250711_20250727_L9,0.0641,0.0755,-0.004,0.0017,36.4618
8,L8,8_L820250711_20250727_L8,0.1353,0.1307,0.019,-0.1583,23.6603
8,L9,8_L820250711_20250727_L9,0.1255,0.096,-0.0831,0.0232,25.1713
9,L8,9_L820250711_20250727_L8,0.0917,0.0949,0.0203,-0.1442,20.7602
9,L9,9_L820250711_20250727_L9,0.0801,0.0655,-0.0807,0.0213,23.7729
10,L8,10_L820250711_20250727_L8,0.0609,0.07,0.021,-0.1426,27.1516
10,L9,10_L820250711_20250727_L9,0.0538,0.052,-0.0809,0.0254,26.3163
