group,satellite,label,delta_vx (m/d),delta_vy (m/d),KDE_vx (m/d),KDE_vy (m/d),Incorrect match (%)
1,L8,1_L820230124_L820231210_L8,0.0066,0.0043,-0.0003,-0.0002,48.9176
1,L9,1_L820230124_L820231210_L9,0.0031,0.0027,0.0001,-0.0,48.1494
2,L8,2_L820230124_L820231210_L8,0.0094,0.0098,-0.011,-0.0227,25.9777
2,L9,2_L820230124_L820231210_L9,0.0094,0.0104,0.0074,-0.0072,21.9274
3,L8,3_L820230124_L820231210_L8,0.0074,0.0079,-0.0123,-0.0237,16.8645
3,L9,3_L820230124_L820231210_L9,0.0072,0.0065,0.0067,-0.0073,24.0922
4,L8,4_L820230124_L820231210_L8,0.0062,0.0042,0.0001,0.0001,49.6858
4,L9,4_L820230124_L820231210_L9,0.0029,0.0026,0.0001,-0.0,49.0223
5,L8,5_L820230124_L820231210_L8,0.0091,0.0098,-0.0117,-0.0227,26.3268
5,L9,5_L820230124_L820231210_L9,0.0098,0.0101,0.0074,-0.0072,21.5084
6,L8,6_L820230124_L820231210_L8,0.0073,0.0078,-0.0123,-0.0237,17.3883
6,L9,6_L820230124_L820231210_L9,0.0071,0.0064,0.0066,-0.0074,24.4413
7,L8,7_L820230124_L820231210_L8,0.0058,0.0042,0.0,0.0001,50.2793
7,L9,7_L820230124_L820231210_L9,0.003,0.0026,0.0001,-0.0,48.4986
8,L8,8_L820230124_L820231210_L8,0.0091,0.0095,-0.0117,-0.0227,26.8506
8,L9,8_L820230124_L820231210_L9,0.0093,0.0103,0.0074,-0.0072,22.1718
9,L8,9_L820230124_L820231210_L8,0.0075,0.0078,-0.0123,-0.0237,17.0042
9,L9,9_L820230124_L820231210_L9,0.0071,0.0064,0.0066,-0.0074,24.4763
10,L8,10_L820230124_L820231210_L8,0.0053,0.0055,-0.0099,-0.0224,7.1578
10,L9,10_L820230124_L820231210_L9,0.0052,0.0048,0.0067,-0.0073,12.2207
