Kangerlussauq,Win,satellite,¦Äv(m/d),¦Äu(m/d),KDE_vx (m/d),KDE_vy (m/d),Incorrect match (%)
,"""Initial=32 Final=8""",L8,0.1185,0.1549,-0.0033,-0.0195,19.5777
,,L9,0.1117,0.1189,-0.0148,0.0075,16.1333
,"""Initial=32 Final=16""",L8,0.1457,0.1366,0.0187,-0.1584,21.3609
,,L9,0.1474,0.1258,-0.0827,0.0222,18.0666
,"""Initial=32 Final=32""",L8,0.1062,0.1062,0.0201,-0.1497,15.8986
,,L9,0.1051,0.0919,-0.0851,0.0249,14.9413
,"""Initial=64 Final=8""",L8,0.0961,0.1345,-0.0026,-0.0058,27.5739
,,L9,0.0641,0.0755,-0.004,0.0017,36.4242
," ""Initial=64 Final=16""",L8,0.1362,0.1317,0.0189,-0.1582,23.3693
,,L9,0.1263,0.0966,-0.0832,0.0231,25.068
,"""Initial=64 Final=32""",L8,0.091,0.0941,0.0204,-0.1444,21.1075
,,L9,0.0804,0.0658,-0.0806,0.0212,23.5664
,"""Initial=128 Final=8""",L8,0.0963,0.1348,-0.0026,-0.0057,27.4425
,,L9,0.0641,0.0755,-0.004,0.0017,36.4618
,"""Initial=128 Final=16""",L8,0.1353,0.1307,0.019,-0.1583,23.6603
,,L9,0.1255,0.096,-0.0831,0.0232,25.1713
,"""Initial=128 Final=32""",L8,0.0917,0.0949,0.0203,-0.1442,20.7602
,,L9,0.0801,0.0655,-0.0807,0.0213,23.7729
,"""Initial=128 Final=64""",L8,0.0609,0.07,0.021,-0.1426,27.1516
,,L9,0.0538,0.052,-0.0809,0.0254,26.3163
,,,,,,,
Mawson,Win,satellite,¦Äv(m/d),¦Äu(m/d),KDE_vx (m/d),KDE_vy (m/d),Incorrect match (%)
,"""Initial=32 Final=8""",L8,0.0066,0.0043,-0.0003,-0.0002,48.9176
,,L9,0.0031,0.0027,0.0001,0,48.1494
,"""Initial=32 Final=16""",L8,0.0094,0.0098,-0.011,-0.0227,25.9777
,,L9,0.0094,0.0104,0.0074,-0.0072,21.9274
,"""Initial=32 Final=32""",L8,0.0074,0.0079,-0.0123,-0.0237,16.8645
,,L9,0.0072,0.0065,0.0067,-0.0073,24.0922
,"""Initial=64 Final=8""",L8,0.0062,0.0042,0.0001,0.0001,49.6858
,,L9,0.0029,0.0026,0.0001,0,49.0223
," ""Initial=64 Final=16""",L8,0.0091,0.0098,-0.0117,-0.0227,26.3268
,,L9,0.0098,0.0101,0.0074,-0.0072,21.5084
,"""Initial=64 Final=32""",L8,0.0073,0.0078,-0.0123,-0.0237,17.3883
,,L9,0.0071,0.0064,0.0066,-0.0074,24.4413
,"""Initial=128 Final=8""",L8,0.0058,0.0042,0,0.0001,50.2793
,,L9,0.003,0.0026,0.0001,0,48.4986
,"""Initial=128 Final=16""",L8,0.0091,0.0095,-0.0117,-0.0227,26.8506
,,L9,0.0093,0.0103,0.0074,-0.0072,22.1718
,"""Initial=128 Final=32""",L8,0.0075,0.0078,-0.0123,-0.0237,17.0042
,,L9,0.0071,0.0064,0.0066,-0.0074,24.4763
,"""Initial=128 Final=64""",L8,0.0053,0.0055,-0.0099,-0.0224,7.1578
,,L9,0.0052,0.0048,0.0067,-0.0073,12.2207
